Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2026-02-12 10:00:00+07:00,162.0,163.0,161.5,162.5,0,0.0,0.0,BBL.BK
2026-02-12 11:00:00+07:00,162.5,163.0,162.0,162.5,1318888,0.0,0.0,BBL.BK
2026-02-12 12:00:00+07:00,162.5,163.0,162.5,163.0,243123,0.0,0.0,BBL.BK
2026-02-12 13:00:00+07:00,163.0,163.0,162.5,163.0,119800,0.0,0.0,BBL.BK
2026-02-12 14:00:00+07:00,163.0,164.0,161.0,163.5,4458170,0.0,0.0,BBL.BK
2026-02-12 15:00:00+07:00,164.0,164.0,163.0,163.5,3143049,0.0,0.0,BBL.BK
2026-02-12 16:00:00+07:00,163.5,164.0,163.0,164.0,1275984,0.0,0.0,BBL.BK
2026-02-12 10:00:00+07:00,140.0,141.0,139.5,140.5,0,0.0,0.0,SCB.BK
2026-02-12 11:00:00+07:00,141.0,141.0,140.0,140.5,2580092,0.0,0.0,SCB.BK
2026-02-12 12:00:00+07:00,140.5,141.0,140.5,141.0,249010,0.0,0.0,SCB.BK
2026-02-12 13:00:00+07:00,140.5,141.0,140.5,140.5,148332,0.0,0.0,SCB.BK
2026-02-12 14:00:00+07:00,140.5,141.5,139.5,141.0,3800701,0.0,0.0,SCB.BK
2026-02-12 15:00:00+07:00,140.5,141.5,140.5,141.5,2347832,0.0,0.0,SCB.BK
2026-02-12 16:00:00+07:00,141.0,141.5,140.5,140.5,1303725,0.0,0.0,SCB.BK
2026-02-12 10:00:00+07:00,30.25,30.5,30.0,30.5,0,0.0,0.0,KTB.BK
2026-02-12 11:00:00+07:00,30.5,30.5,30.0,30.0,7550459,0.0,0.0,KTB.BK
2026-02-12 12:00:00+07:00,30.0,30.5,30.0,30.5,9236630,0.0,0.0,KTB.BK
2026-02-12 13:00:00+07:00,30.5,30.5,30.25,30.25,641100,0.0,0.0,KTB.BK
2026-02-12 14:00:00+07:00,30.5,30.75,30.25,30.75,13797511,0.0,0.0,KTB.BK
2026-02-12 15:00:00+07:00,30.75,30.75,30.5,30.75,14779957,0.0,0.0,KTB.BK
2026-02-12 16:00:00+07:00,30.75,31.0,30.5,30.75,11034351,0.0,0.0,KTB.BK
2026-02-13 10:00:00+07:00,164.5,166.0,164.0,165.0,0,0.0,0.0,BBL.BK
2026-02-13 11:00:00+07:00,165.0,165.5,164.5,165.0,2365616,0.0,0.0,BBL.BK
2026-02-13 12:00:00+07:00,165.0,165.0,164.0,164.5,404176,0.0,0.0,BBL.BK
2026-02-13 13:00:00+07:00,164.5,164.5,164.0,164.5,108519,0.0,0.0,BBL.BK
2026-02-13 14:00:00+07:00,164.5,164.5,163.5,164.0,1380184,0.0,0.0,BBL.BK
2026-02-13 15:00:00+07:00,164.0,164.5,163.5,163.5,2625063,0.0,0.0,BBL.BK
2026-02-13 16:00:00+07:00,164.0,164.5,163.5,164.0,1923733,0.0,0.0,BBL.BK
2026-02-13 10:00:00+07:00,141.5,143.0,141.0,141.5,0,0.0,0.0,SCB.BK
2026-02-13 11:00:00+07:00,141.5,142.0,141.0,141.0,1281716,0.0,0.0,SCB.BK
2026-02-13 12:00:00+07:00,141.5,141.5,141.0,141.5,207409,0.0,0.0,SCB.BK
2026-02-13 13:00:00+07:00,141.5,141.5,141.0,141.5,115649,0.0,0.0,SCB.BK
2026-02-13 14:00:00+07:00,141.5,141.5,141.0,141.0,666291,0.0,0.0,SCB.BK
2026-02-13 15:00:00+07:00,141.0,141.5,141.0,141.5,654306,0.0,0.0,SCB.BK
2026-02-13 16:00:00+07:00,141.0,141.5,141.0,141.0,531495,0.0,0.0,SCB.BK
2026-02-13 10:00:00+07:00,30.5,31.0,30.5,30.5,0,0.0,0.0,KTB.BK
2026-02-13 11:00:00+07:00,30.5,30.75,30.5,30.5,4369755,0.0,0.0,KTB.BK
2026-02-13 12:00:00+07:00,30.75,30.75,30.25,30.25,5418909,0.0,0.0,KTB.BK
2026-02-13 13:00:00+07:00,30.5,30.5,30.25,30.5,1851382,0.0,0.0,KTB.BK
2026-02-13 14:00:00+07:00,30.5,30.5,30.25,30.5,8094423,0.0,0.0,KTB.BK
2026-02-13 15:00:00+07:00,30.5,30.75,30.25,30.75,9312987,0.0,0.0,KTB.BK
2026-02-13 16:00:00+07:00,30.75,30.75,30.5,30.5,2685452,0.0,0.0,KTB.BK
2026-02-16 10:00:00+07:00,163.5,165.0,163.0,164.0,0,0.0,0.0,BBL.BK
2026-02-16 11:00:00+07:00,164.0,164.0,163.0,163.5,1356636,0.0,0.0,BBL.BK
2026-02-16 12:00:00+07:00,163.5,164.0,163.5,164.0,316656,0.0,0.0,BBL.BK
2026-02-16 13:00:00+07:00,164.0,164.0,163.5,164.0,1212534,0.0,0.0,BBL.BK
2026-02-16 14:00:00+07:00,164.0,164.5,163.5,164.0,2440880,0.0,0.0,BBL.BK
2026-02-16 15:00:00+07:00,164.0,164.5,164.0,164.0,344910,0.0,0.0,BBL.BK
2026-02-16 16:00:00+07:00,164.0,164.5,164.0,164.0,695256,0.0,0.0,BBL.BK
2026-02-16 10:00:00+07:00,142.0,142.5,141.0,142.0,0,0.0,0.0,SCB.BK
2026-02-16 11:00:00+07:00,142.0,142.0,141.5,141.5,299743,0.0,0.0,SCB.BK
2026-02-16 12:00:00+07:00,142.0,142.0,141.5,141.5,161928,0.0,0.0,SCB.BK
2026-02-16 13:00:00+07:00,142.0,142.0,141.5,142.0,94657,0.0,0.0,SCB.BK
2026-02-16 14:00:00+07:00,141.5,142.0,141.5,141.5,382926,0.0,0.0,SCB.BK
2026-02-16 15:00:00+07:00,142.0,142.0,141.5,142.0,673801,0.0,0.0,SCB.BK
2026-02-16 16:00:00+07:00,142.0,142.0,141.5,141.5,383473,0.0,0.0,SCB.BK
2026-02-16 10:00:00+07:00,30.5,31.0,30.25,30.75,0,0.0,0.0,KTB.BK
2026-02-16 11:00:00+07:00,30.75,31.0,30.5,31.0,15713040,0.0,0.0,KTB.BK
2026-02-16 12:00:00+07:00,31.0,31.0,30.75,30.75,4264851,0.0,0.0,KTB.BK
2026-02-16 13:00:00+07:00,30.75,31.0,30.75,30.75,314900,0.0,0.0,KTB.BK
2026-02-16 14:00:00+07:00,30.75,31.0,30.75,30.75,4075530,0.0,0.0,KTB.BK
2026-02-16 15:00:00+07:00,30.75,31.0,30.75,30.75,4566596,0.0,0.0,KTB.BK
2026-02-16 16:00:00+07:00,30.75,31.0,30.75,31.0,9418602,0.0,0.0,KTB.BK
2026-02-17 10:00:00+07:00,164.0,167.0,164.0,166.0,0,0.0,0.0,BBL.BK
2026-02-17 11:00:00+07:00,166.0,167.0,166.0,166.0,1122331,0.0,0.0,BBL.BK
2026-02-17 12:00:00+07:00,166.5,167.0,166.0,167.0,262250,0.0,0.0,BBL.BK
2026-02-17 13:00:00+07:00,167.0,167.0,166.5,167.0,65611,0.0,0.0,BBL.BK
2026-02-17 14:00:00+07:00,167.0,167.5,166.5,167.5,1970129,0.0,0.0,BBL.BK
2026-02-17 15:00:00+07:00,167.5,168.0,167.0,167.5,2320545,0.0,0.0,BBL.BK
2026-02-17 16:00:00+07:00,167.0,168.0,167.0,167.5,1461313,0.0,0.0,BBL.BK
2026-02-17 10:00:00+07:00,142.0,144.5,142.0,144.0,0,0.0,0.0,SCB.BK
2026-02-17 11:00:00+07:00,144.0,145.0,144.0,145.0,2907377,0.0,0.0,SCB.BK
2026-02-17 12:00:00+07:00,144.5,145.0,144.5,145.0,334325,0.0,0.0,SCB.BK
2026-02-17 13:00:00+07:00,145.0,145.0,144.5,145.0,205958,0.0,0.0,SCB.BK
2026-02-17 14:00:00+07:00,145.0,146.0,144.5,146.0,4651126,0.0,0.0,SCB.BK
2026-02-17 15:00:00+07:00,146.0,146.0,145.5,146.0,2391807,0.0,0.0,SCB.BK
2026-02-17 16:00:00+07:00,145.5,146.0,145.0,146.0,2341637,0.0,0.0,SCB.BK
2026-02-17 10:00:00+07:00,32.0,32.25,31.75,32.25,0,0.0,0.0,KTB.BK
2026-02-17 11:00:00+07:00,32.25,32.5,32.0,32.0,7349672,0.0,0.0,KTB.BK
